title,id,genres,runtime_seconds,number_of_writers
The Jungle Book (1967),tt0061852,"['Animation', 'Adventure', 'Comedy']",4680.0,3.0
The Exorcist (1973),tt0070047,['Horror'],7320.0,1.0
Pirates of the Caribbean: Dead Man's Chest (2006),tt0383574,"['Action', 'Adventure', 'Fantasy']",9060.0,3.0
Gone in Sixty Seconds (2000),tt0187078,"['Action', 'Crime', 'Thriller']",7080.0,2.0
Funny Girl (1968),tt0062994,"['Biography', 'Comedy', 'Drama']",9060.0,1.0
Honey (2003),tt0322589,"['Drama', 'Music', 'Romance']",5640.0,2.0
Blues Brothers 2000 (1998),tt0118747,"['Action', 'Comedy', 'Crime']",7380.0,2.0
Avatar (2009),tt0499549,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",9720.0,1.0
The Pianist (2002),tt0253474,"['Biography', 'Drama', 'Music', 'War']",9000.0,2.0
Godzilla (1998),tt0120685,"['Action', 'Sci-Fi', 'Thriller']",8340.0,3.0
Fight Club (1999),tt0137523,"['Crime', 'Drama', 'Thriller']",8340.0,2.0
The Conjuring (2013),tt1457767,"['Horror', 'Mystery', 'Thriller']",6720.0,2.0
Top Gun (1986),tt0092099,"['Action', 'Drama']",6600.0,3.0
Slackers (2002),tt0240900,"['Comedy', 'Romance']",5160.0,1.0
Shrek (2001),tt0126029,"['Animation', 'Adventure', 'Comedy']",5400.0,3.0
12 Monkeys (1995),tt0114746,"['Mystery', 'Sci-Fi', 'Thriller']",7740.0,3.0
From Hell (2001),tt0120681,"['Crime', 'Horror', 'Mystery']",7320.0,3.0
Dead Poets Society (1989),tt0097165,"['Comedy', 'Drama']",7680.0,1.0
Once Upon a Time in America (1984),tt0087843,"['Crime', 'Drama']",13740.0,3.0
Equilibrium (2002),tt0238380,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",6420.0,1.0
Star Wars: Episode II - Attack of the Clones (2002),tt0121765,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",8520.0,2.0
The Thing (1982),tt0084787,"['Horror', 'Mystery', 'Sci-Fi']",6540.0,2.0
Interstellar (2014),tt0816692,"['Adventure', 'Drama', 'Sci-Fi']",10140.0,2.0
Full Metal Jacket (1987),tt0093058,"['Drama', 'War']",6960.0,3.0
Big Fish (2003),tt0319061,"['Adventure', 'Drama', 'Fantasy', 'Romance']",7500.0,2.0
Cool Hand Luke (1967),tt0061512,"['Crime', 'Drama']",7620.0,3.0
A Beautiful Mind (2001),tt0268978,"['Biography', 'Drama', 'Mystery']",8100.0,2.0
Sholay (1978),,,,
The 51st State (2001),tt0227984,"['Action', 'Comedy', 'Crime', 'Thriller']",5580.0,1.0
Die Hard With a Vengeance (1995),tt0112864,"['Action', 'Adventure', 'Thriller']",7680.0,2.0
Elf (2003),tt0319343,"['Adventure', 'Comedy', 'Family']",5820.0,1.0
The Blue Lagoon (1980),tt0080453,"['Adventure', 'Drama', 'Romance']",6240.0,2.0
Hellraiser (1987),tt0093177,"['Horror', 'Thriller']",5640.0,1.0
Moonraker (1979),tt0079574,"['Action', 'Adventure', 'Sci-Fi']",7560.0,3.0
Leon (1994),,,,
Mystic River (2003),tt0327056,"['Crime', 'Drama', 'Mystery']",8280.0,2.0
Sexy Beast (2000),tt0203119,"['Crime', 'Drama', 'Thriller']",5340.0,2.0
Beetle Juice (1988),,,,
Andaz Apna Apna (1994),tt0109117,"['Action', 'Comedy', 'Romance']",9600.0,2.0
The Proposal (2009),tt1041829,"['Comedy', 'Drama', 'Romance']",6480.0,1.0
The Shining (1980),tt0081505,"['Drama', 'Horror']",8760.0,3.0
The Land That Time Forgot (1974),tt0073260,"['Adventure', 'Fantasy', 'Sci-Fi']",5460.0,3.0
The Perfect Storm (2000),tt0177971,"['Action', 'Adventure', 'Drama']",7800.0,2.0
Escape from LA (1996),,,,
Shutter Island (2010),tt1130884,"['Drama', 'Mystery', 'Thriller']",8280.0,2.0
JFK (1991),tt0102138,"['Drama', 'History', 'Thriller']",11340.0,3.0
Barb Wire (1996),tt0115624,"['Action', 'Sci-Fi']",5880.0,3.0
Oldboy (2003),tt0364569,"['Action', 'Drama', 'Mystery']",7200.0,3.0
Carrie (1976),tt0074285,['Horror'],5880.0,2.0
The Good the Bad and the Ugly (1966),,,,
Speed 2: Cruise Control (1997),tt0120179,"['Action', 'Adventure', 'Crime', 'Romance', 'Thriller']",7260.0,3.0
The Lord of the Rings: The Fellowship of the Ring (2001),tt0120737,"['Adventure', 'Drama', 'Fantasy']",10680.0,3.0
The Talented Mr. Ripley (1999),tt0134119,"['Crime', 'Drama', 'Thriller']",8340.0,2.0
Casino (1995),tt0112641,"['Crime', 'Drama']",10680.0,2.0
A Time to Kill (1996),tt0117913,"['Crime', 'Drama', 'Thriller']",8940.0,2.0
Blazing Saddles (1974),tt0071230,"['Comedy', 'Western']",5580.0,3.0
The Doom Generation (1995),tt0112887,"['Comedy', 'Crime', 'Drama']",4980.0,1.0
Armageddon (1998),tt0120591,"['Action', 'Adventure', 'Sci-Fi']",9060.0,3.0
X-Men (2000),tt0120903,"['Action', 'Adventure', 'Sci-Fi']",6240.0,3.0
Arachnophobia (1990),tt0099052,"['Comedy', 'Horror', 'Thriller']",6540.0,3.0
Stir Crazy (1980),tt0081562,"['Comedy', 'Crime']",6660.0,2.0
Billy Jack (1971),tt0066832,"['Action', 'Drama']",6840.0,2.0
The Silencers (1966),tt0060980,"['Action', 'Adventure', 'Comedy']",6120.0,2.0
The Three Musketeers (1993),tt0108333,"['Action', 'Adventure', 'Romance']",6300.0,2.0
Girl Interrupted (1999),,,,
Finding Nemo (2003),tt0266543,"['Animation', 'Adventure', 'Comedy']",6000.0,3.0
Tropic of Cancer (1970),tt0066494,"['Biography', 'Drama']",5220.0,3.0
The Sixth Sense (1999),tt0167404,"['Drama', 'Mystery', 'Thriller']",6420.0,1.0
I Know What You Did Last Summer (1997),tt0119345,"['Horror', 'Mystery']",6060.0,2.0
Indiana Jones and the Kingdom of the Crystal Skull (2008),tt0367882,"['Action', 'Adventure']",7320.0,3.0
